vendor,chmax,performance
adviser,128,198
amdahl,32,269
amdahl,32,220
amdahl,32,172
amdahl,16,132
amdahl,32,318
amdahl,32,367
amdahl,32,489
amdahl,32,636
amdahl,64,1144
apollo,2,38
apollo,6,40
basf,8,92
basf,8,138
bti,4,10
bti,32,35
burroughs,15,19
burroughs,32,28
burroughs,16,31
burroughs,64,120
burroughs,32,30
burroughs,20,33
burroughs,64,61
burroughs,64,76
c.r.d,12,23
c.r.d,3,69
c.r.d,6,33
c.r.d,3,27
c.r.d,5,77
c.r.d,6,27
cdc,24,274
cdc,24,368
cdc,24,32
cdc,24,63
cdc,24,106
cdc,24,208
cdc,4,20
cdc,5,29
cdc,5,71
cambex,5,26
cambex,5,36
cambex,5,40
cambex,6,52
cambex,6,60
dec,12,72
dec,12,72
dec,1,18
dec,1,20
dec,5,40
dec,8,62
dg,1,24
dg,1,24
dg,3,138
dg,2,36
dg,2,26
dg,2,60
dg,2,71
formation,4,12
formation,4,14
formation,4,20
formation,4,16
formation,4,22
four-phase,20,36
gould,38,144
gould,38,144
gould,38,259
hp,10,17
hp,10,26
hp,24,32
hp,19,32
hp,24,62
hp,48,64
hp,24,22
harris,24,36
harris,24,44
harris,24,50
harris,24,45
harris,24,53
harris,24,36
harris,31,84
honeywell,4,16
honeywell,64,38
honeywell,112,38
honeywell,2,16
honeywell,6,22
honeywell,6,29
honeywell,8,40
honeywell,20,35
honeywell,20,134
honeywell,54,66
honeywell,54,141
honeywell,54,189
honeywell,20,22
ibm,12,132
ibm,16,237
ibm,24,465
ibm,24,465
ibm,24,277
ibm,16,185
ibm,1,6
ibm,5,24
ibm,6,45
ibm,1,7
ibm,1,13
ibm,1,16
ibm,1,32
ibm,1,32
ibm,2,11
ibm,2,11
ibm,2,18
ibm,2,22
ibm,6,37
ibm,6,40
ibm,6,34
ibm,6,50
ibm,6,76
ibm,6,66
ibm,6,24
ibm,4,49
ibm,5,66
ibm,12,100
ibm,12,133
ibm,0,12
ibm,0,18
ibm,0,20
ipl,6,27
ipl,6,45
ipl,6,56
ipl,6,70
ipl,6,80
ipl,10,136
magnuson,6,16
magnuson,6,26
magnuson,6,32
magnuson,16,45
magnuson,16,54
magnuson,16,65
microdata,128,30
nas,3,50
nas,5,40
nas,6,62
nas,6,60
nas,6,50
nas,6,66
nas,6,86
nas,8,74
nas,8,93
nas,10,111
nas,16,143
nas,8,105
nas,16,214
nas,24,277
nas,24,370
nas,32,510
nas,24,214
nas,24,326
nas,24,510
ncr,4,8
ncr,6,12
ncr,6,17
ncr,8,21
ncr,8,24
ncr,8,34
ncr,8,42
ncr,8,46
ncr,32,51
ncr,32,116
ncr,8,100
ncr,8,140
ncr,32,212
nixdorf,2,25
nixdorf,4,30
nixdorf,5,41
perkin-elmer,7,25
perkin-elmer,7,50
perkin-elmer,8,50
prime,5,30
prime,8,32
prime,14,38
prime,14,60
prime,13,109
siemens,3,6
siemens,5,11
siemens,8,22
siemens,16,33
siemens,14,58
siemens,12,130
siemens,8,75
siemens,12,113
siemens,24,188
siemens,16,173
siemens,16,248
siemens,32,405
sperry,28,70
sperry,26,114
sperry,52,208
sperry,104,307
sperry,104,397
sperry,176,915
sperry,176,1150
sperry,3,12
sperry,3,14
sperry,3,18
sperry,3,21
sperry,8,42
sperry,8,46
sratus,14,52
wang,0,67
wang,0,45
